33 chapters, 1314 paragraphs, 176671 chars (core 869) (medium 206) (long 239)
Voice ne-NP-HemkalaNeural  rate -22%  pitch -6Hz  volume -12%

[bedtime] Bedtime: rate -22% pitch -6Hz, one clip per sentence
  ✓ ch04-p00-s02  (35 chars, 25KB)
  ✓ ch04-p01-s02  (49 chars, 0KB)
  ✓ ch04-p01-s01  (27 chars, 21KB)
  ✓ ch04-p04-s00  (31 chars, 21KB)
  ✓ ch04-p02-s01  (69 chars, 44KB)
  ✓ ch04-p03-s00  (52 chars, 33KB)
  ✓ ch04-p03-s01  (66 chars, 43KB)
  ✓ ch04-p04-s01  (24 chars, 19KB)
  ✓ ch04-p04-s03  (44 chars, 30KB)
  ✓ ch04-p04-s02  (53 chars, 34KB)
  ✓ ch04-p05-s00  (41 chars, 29KB)
  ✓ ch04-p04-s04  (63 chars, 40KB)
  ✓ ch04-p05-s01  (30 chars, 23KB)
  ✓ ch04-p06-s00  (44 chars, 30KB)
  ✓ ch04-p05-s02  (63 chars, 38KB)
  ✓ ch04-p07-s00  (29 chars, 22KB)
  ✓ ch04-p06-s01  (65 chars, 40KB)
  ✓ ch04-p06-s02  (68 chars, 43KB)
  ✓ ch04-p07-s01  (72 chars, 47KB)
  ✓ ch04-p08-s01  (23 chars, 19KB)
  ✓ ch04-p08-s00  (15 chars, 17KB)
  ✓ ch04-p08-s02  (22 chars, 19KB)
  ✓ ch04-p09-s01  (45 chars, 30KB)
  ✓ ch04-p09-s00  (84 chars, 46KB)
  ✓ ch04-p08-s03  (61 chars, 38KB)
  ✓ ch04-p09-s02  (47 chars, 32KB)
  ✓ ch04-p10-s00  (78 chars, 44KB)
  ✓ ch04-p11-s00  (50 chars, 30KB)
  ✓ ch04-p12-s00  (31 chars, 20KB)
  ✓ ch04-p11-s01  (69 chars, 41KB)
  ✓ ch04-p13-s00  (33 chars, 23KB)
  ✓ ch04-p12-s02  (51 chars, 34KB)
  ✓ ch04-p13-s01  (23 chars, 18KB)
  ✓ ch04-p12-s01  (95 chars, 65KB)
  ✓ ch04-p13-s02  (27 chars, 19KB)
  ✓ ch04-p14-s00  (58 chars, 38KB)
  ✓ ch04-p15-s00  (28 chars, 21KB)
  ✓ ch04-p15-s02  (90 chars, 55KB)
  ✓ ch04-p15-s01  (102 chars, 64KB)
  ✓ ch04-p15-s03  (100 chars, 57KB)
  ✓ ch04-p15-s04  (76 chars, 50KB)
  ✓ ch04-p16-s00  (10 chars, 12KB)
  ✓ ch04-p15-s05  (76 chars, 47KB)
  ✓ ch04-p16-s01  (53 chars, 34KB)
  ✓ ch04-p19-s00  (18 chars, 16KB)
  ✓ ch04-p17-s00  (82 chars, 60KB)
  ✓ ch04-p19-s01  (22 chars, 19KB)
  ✓ ch04-p22-s00  (11 chars, 14KB)
  ✓ ch04-p23-s00  (30 chars, 21KB)
  ✓ ch04-p22-s01  (60 chars, 36KB)
  ✓ ch04-p20-s00  (61 chars, 52KB)
  ✓ ch04-p23-s01  (44 chars, 29KB)
  ✓ ch04-p24-s00  (47 chars, 30KB)
  ✓ ch04-p24-s01  (58 chars, 35KB)
  ✓ ch04-p25-s00  (48 chars, 31KB)
  ✓ ch04-p26-s02  (20 chars, 17KB)
  ✓ ch04-p26-s01  (68 chars, 41KB)
  ✓ ch04-p25-s01  (110 chars, 66KB)
  ✓ ch04-p26-s00  (56 chars, 35KB)
  ✓ ch04-p27-s02  (44 chars, 31KB)
  ✓ ch04-p27-s01  (53 chars, 35KB)
  ✓ ch04-p27-s00  (28 chars, 22KB)
  ✓ ch04-p28-s00  (36 chars, 33KB)
  ✓ ch04-p28-s01  (45 chars, 26KB)
  ✓ ch04-p29-s01  (23 chars, 19KB)
  ✓ ch04-p29-s00  (18 chars, 17KB)
  ✓ ch04-p29-s02  (32 chars, 24KB)
  ✓ ch04-p30-s00  (49 chars, 30KB)
  ✓ ch04-p31-s01  (36 chars, 26KB)
  ✓ ch04-p30-s01  (61 chars, 39KB)
  ✓ ch04-p31-s00  (46 chars, 30KB)
  ✓ ch04-p32-s01  (70 chars, 45KB)
  ✓ ch04-p32-s02  (22 chars, 18KB)
  ✓ ch04-p32-s00  (25 chars, 21KB)
  ✓ ch04-p33-s00  (53 chars, 35KB)
  ✓ ch04-p33-s02  (41 chars, 25KB)
  ✓ ch04-p34-s00  (14 chars, 16KB)
  ✓ ch04-p34-s01  (45 chars, 32KB)
  ✓ ch04-p33-s01  (63 chars, 36KB)
  ✓ ch05-p00-s00  (26 chars, 20KB)
  ✓ ch05-p00-s01  (35 chars, 26KB)
  ✓ ch05-p01-s00  (18 chars, 16KB)
  ✓ ch05-p01-s01  (26 chars, 20KB)
  ✓ ch05-p01-s02  (21 chars, 17KB)
  ✓ ch05-p01-s03  (24 chars, 18KB)
  ✓ ch05-p02-s01  (30 chars, 22KB)
  ✓ ch05-p03-s00  (45 chars, 31KB)
  ✓ ch05-p02-s00  (32 chars, 23KB)
  ✓ ch05-p02-s02  (42 chars, 27KB)
  ✓ ch05-p03-s01  (36 chars, 24KB)
  ✓ ch05-p03-s03  (23 chars, 19KB)
  ✓ ch05-p04-s00  (32 chars, 24KB)
  ✓ ch05-p03-s02  (29 chars, 21KB)
  ✓ ch05-p04-s01  (54 chars, 37KB)
  ✓ ch05-p05-s01  (68 chars, 43KB)
  ✓ ch05-p04-s02  (73 chars, 46KB)
  ✓ ch05-p06-s00  (20 chars, 18KB)
  ✓ ch05-p05-s00  (51 chars, 32KB)
  ✓ ch05-p06-s01  (23 chars, 18KB)
  ✓ ch05-p06-s02  (27 chars, 21KB)
  ✓ ch05-p07-s00  (44 chars, 27KB)
  ✓ ch05-p07-s01  (51 chars, 34KB)
  ✓ ch05-p08-s00  (19 chars, 17KB)
  ✓ ch05-p06-s03  (65 chars, 42KB)
  ✓ ch05-p08-s01  (36 chars, 24KB)
  ✓ ch05-p09-s01  (36 chars, 24KB)
  ✓ ch05-p08-s02  (53 chars, 34KB)
  ✓ ch05-p09-s00  (28 chars, 20KB)
  ✓ ch05-p09-s02  (15 chars, 15KB)
  ✓ ch05-p10-s00  (29 chars, 21KB)
  ✓ ch05-p10-s02  (53 chars, 34KB)
  ✓ ch05-p10-s01  (61 chars, 38KB)
  ✓ ch05-p10-s03  (58 chars, 37KB)
  ✓ ch05-p11-s00  (69 chars, 43KB)
  ✓ ch05-p11-s01  (34 chars, 25KB)
  ✓ ch05-p12-s00  (32 chars, 24KB)
  ✓ ch05-p12-s02  (50 chars, 34KB)
  ✓ ch05-p12-s01  (51 chars, 33KB)
  ✓ ch05-p13-s00  (58 chars, 39KB)
  ✓ ch05-p14-s00  (35 chars, 26KB)
  ✓ ch05-p14-s01  (70 chars, 44KB)
  ✓ ch05-p14-s03  (75 chars, 47KB)
  ✓ ch05-p14-s05  (70 chars, 43KB)
  ✓ ch05-p15-s00  (10 chars, 12KB)
  ✓ ch05-p15-s01  (40 chars, 28KB)
  ✓ ch05-p14-s02  (110 chars, 65KB)
  ✓ ch05-p14-s04  (86 chars, 53KB)
  ✓ ch05-p18-s00  (13 chars, 15KB)
  ✓ ch05-p16-s00  (69 chars, 54KB)
  ✓ ch05-p18-s01  (26 chars, 22KB)
  ✓ ch05-p21-s00  (12 chars, 15KB)
  ✓ ch05-p19-s00  (61 chars, 54KB)
  ✓ ch05-p21-s01  (53 chars, 33KB)
  ✓ ch05-p23-s00  (38 chars, 25KB)
  ✓ ch05-p22-s00  (68 chars, 43KB)
  ✓ ch05-p23-s02  (20 chars, 17KB)
  ✓ ch05-p23-s01  (38 chars, 25KB)
  ✓ ch05-p24-s00  (31 chars, 21KB)
  ✓ ch05-p25-s00  (32 chars, 23KB)
  ✓ ch05-p24-s01  (55 chars, 33KB)
